CLTS_NAME	BIPA_GRAPHEME	ID	GRAPHEME	FEATURES
from voiceless post-alveolar stop to aspirated voiceless alveolo-palatal sibilant fricative cluster	t̠ɕʰ	5324	t̠ɕʰ	pulmonic affricate sibilant aspirated voiceless palatalized palato-alveolar
nasalized unrounded nearly-open front vowel	æ̃	5355	æ̃	nasalized raised low front unrounded
aspirated voiceless alveolar stop consonant	tʰ	5362	tʰ	pulmonic stop aspirated voiceless alveolar
voiceless uvular fricative consonant	χ	54	χ	pulmonic fricative voiceless uvular
long unrounded open front vowel	aː	5465	aː	long low central unrounded
long nasalized unrounded open front vowel	ãː	5467	ãː	nasalized long low central unrounded
long nasalized unrounded close front vowel	ĩː	5470	ĩː	nasalized long high front unrounded
long nasalized rounded close back vowel	ũː	5473	ũː	nasalized long high back rounded
aspirated voiceless alveolar sibilant affricate consonant	tsʰ	5474	tsʰ	pulmonic affricate sibilant aspirated voiceless alveolar
aspirated voiceless alveolar lateral affricate consonant	tɬʰ	5477	tɬʰ	pulmonic affricate lateral aspirated voiceless alveolar
labialized voiced velar fricative consonant	ɣʷ	5488	ɣʷ	pulmonic fricative voiced labialized velar
labialized voiceless velar fricative consonant	xʷ	5495	xʷ	pulmonic fricative voiceless labialized velar
voiced uvular fricative consonant	ʁ	55	ʁ	pulmonic fricative voiced uvular
long rounded close back vowel	uː	5502	uː	long high back rounded
long rounded close-mid back vowel	oː	5503	oː	long higher mid back rounded
long unrounded close front vowel	iː	5504	iː	long high front unrounded
long unrounded nearly-open front vowel	æː	5505	æː	long raised low front unrounded
long unrounded close-mid front vowel	eː	5506	eː	long higher mid front unrounded
pharyngealized voiceless dental stop consonant	t̪ˤ	5507	t̪ˤ	pulmonic stop voiceless pharyngealized  dental
pharyngealized voiceless dental sibilant fricative consonant	s̪ˤ	5509	s̪ˤ	pulmonic fricative sibilant voiceless pharyngealized  dental
voiced dental lateral approximant consonant	l̪	5512	l̪	pulmonic approximant lateral voiced dental
pharyngealized voiced dental stop consonant	d̪ˤ	5514	d̪ˤ	pulmonic stop voiced pharyngealized  dental
voiced dental sibilant fricative consonant	z̪	5516	z̪	pulmonic fricative sibilant voiced dental
pharyngealized voiced dental sibilant fricative consonant	z̪ˤ	5517	z̪ˤ	pulmonic fricative sibilant voiced pharyngealized  dental
voiceless pharyngeal fricative consonant	ħ	56	ħ	pulmonic fricative voiceless pharyngeal
voiced pharyngeal fricative consonant	ʕ	57	ʕ	pulmonic fricative voiced pharyngeal
voiced alveolar sibilant affricate consonant	dz	5770	dz	pulmonic affricate sibilant voiced alveolar
voiced alveolar lateral affricate consonant	dɮ	5771	dɮ	pulmonic affricate lateral voiced alveolar
from voiced bilabial nasal to voiced bilabial stop cluster	mb	5777	mb	pulmonic stop prenasalized voiced bilabial
from voiced alveolar nasal to voiced alveolar stop cluster	nd	5779	nd	pulmonic stop prenasalized voiced alveolar
from voiced dental nasal to voiced dental stop cluster	n̪d̪	5780	n̪d̪	pulmonic stop prenasalized voiced dental
from voiced alveolar nasal to voiced alveolar sibilant affricate cluster	ndz	5782	ndz	pulmonic stop affricate sibilant prenasalized voiced alveolar
voiceless alveolar lateral affricate consonant	tɬ	5790	tɬ	pulmonic affricate lateral voiceless alveolar
labialized voiceless velar stop consonant	kʷ	5794	kʷ	pulmonic stop voiceless labialized velar
voiceless alveolar sibilant affricate consonant	ts	5796	ts	pulmonic affricate sibilant voiceless alveolar
from unrounded open front to rounded close back diphthong	au	5798	au	diphtong high low central back unrounded rounded rising backing rounding
from unrounded open front to unrounded close front diphthong	ai	5799	ai	diphtong high low front central unrounded rising fronting
voiceless glottal fricative consonant	h	58	h	pulmonic fricative voiceless glottal
from unrounded mid central to rounded close back diphthong	əu	5801	əu	diphtong high higher mid central back unrounded rounded rising backing rounding
from voiced dental nasal to voiceless dental stop cluster	n̪t̪	5802	n̪t̪	pulmonic stop prenasalized voiceless dental
